"idpunto","lat","lon","Capm_ha","Cce_ha","Cne_ha","Cnef_ha","Clt_ha","Cor_ha","Css_ha","Csp_ha","WGRU_CODE"
10086,46.44817328,11.22047402,0,1.142255498,0.839407867,0.035978054,12.73861088,36.84421144,23.01467197,52.83791391,"Ftb"
10401,46.4359934,11.35058996,0,0,0,NA,NA,NA,NA,NA,"MH"
10414,46.4356305,11.52135774,0.050275135,0.157497426,0.059602249,NA,NA,NA,NA,NA,"Fi"
10703,46.42528501,11.37347491,0,0.300681873,0.221589531,NA,NA,NA,NA,NA,"Ftb"
10705,46.42629017,11.39870455,1.97089988,0.762252267,0.507423976,0.521162179,13.88308533,64.11035215,20.6061714,36.26308419,"FT"
10979,46.41668785,11.22402124,0.902629019,0.987513383,0.516547522,0.515425315,6.977722945,4.190439867,71.47693913,51.23664834,"Bu"
10998,46.4209833,11.47038681,0.122863243,0.658370058,0.765201127,NA,NA,NA,NA,NA,"FT"
11003,46.41525744,11.53024966,0.568288984,0.306828914,0.021401099,0.050051058,6.812062139,20.25129974,22.71135238,24.21806082,"FT"
11274,46.41484575,11.29011439,0.417490588,0.943255516,0.392434142,NA,NA,NA,NA,NA,"Ei"
11291,46.40661622,11.5095818,1.190246722,0.746550885,0.458548523,NA,NA,NA,NA,NA,"Ftb"
11292,46.40743039,11.5181934,0.375137205,0.050198875,0.986893394,NA,NA,NA,NA,NA,"FT"
11558,46.40303266,11.21792324,0.327739558,0.05127893,4.695660535,3.391258952,7.846787727,52.87991527,8.075284551,10.25561138,"MH"
11849,46.38887795,11.27179759,0.624551273,0.082113261,0,NA,NA,NA,NA,NA,"MH"
11870,46.39332685,11.55041937,7.689037403,0.289222732,0.341885524,NA,NA,NA,NA,NA,"Fs"
12138,46.38223718,11.27189354,0.931506567,1.603944202,8.45e-06,NA,NA,NA,NA,NA,"MH"
12156,46.381282,11.50574509,0,3.009203393,0.061933848,NA,NA,NA,NA,NA,"FT"
12157,46.38685526,11.52637088,0,0.856810184,0.032034469,NA,NA,NA,NA,NA,"FT"
12159,46.38222047,11.55307565,0.341036355,0.099034919,0.233756177,NA,NA,NA,NA,NA,"Zi"
12431,46.37699932,11.27899562,0,0.297980337,0.237888676,NA,NA,NA,NA,NA,"MH"
12733,46.36966947,11.32721142,0,0.00937151,0,0.07557608,4.440602386,11.75420636,33.48324793,0,"EK"
12747,46.36698326,11.51576787,0.129563206,2.503370082,0.78633196,NA,NA,NA,NA,NA,"Fs"
13343,46.34614847,11.37989322,0,1.650704479,0.735028693,NA,NA,NA,NA,NA,"Bu"
13969,46.33176547,11.43324052,0,1.831083647,0.070622363,NA,NA,NA,NA,NA,"Fs"
14577,46.31091209,11.19736172,0,0.158108818,0.035598541,NA,NA,NA,NA,NA,"Bu"
14900,46.30222824,11.28554472,6.717272993,1.158010597,0,NA,NA,NA,NA,NA,"Bu"
14903,46.30484859,11.32689488,0,0.992255019,0.316513008,NA,NA,NA,NA,NA,"Ftb"
15220,46.29028332,11.25702875,0.330278068,0.071561348,0.096940233,NA,NA,NA,NA,NA,"Bu"
15544,46.28053164,11.1835166,1.278053733,1.383740116,0.620130681,NA,NA,NA,NA,NA,"Ftb"
15883,46.27664429,11.24895368,0.791902059,0,0,NA,NA,NA,NA,NA,"MH"
17580,46.23415715,11.22832742,1.909502026,0.193061442,0.50747589,NA,NA,NA,NA,NA,"Ftb"
