X,idpunto,WGRU_CODE,Capm_ha,Cce_ha,Cne_ha,Cnef_ha,Clt_ha,Cor_ha,Css_ha,Csp_ha,elevation,slope,aspect,ele_cat,slope_cat,asp_cat
234,11849,MH,0.624551273,0.082113261,0,NA,NA,NA,NA,NA,382,21,264,2,3,7
235,11870,Fs,7.689037403,0.289222732,0.341885524,NA,NA,NA,NA,NA,2020,25,286,6,3,7
236,12138,MH,0.931506567,1.603944202,8.45E-06,NA,NA,NA,NA,NA,272,22,266,1,3,7
237,12156,FT,0,3.009203393,0.061933848,NA,NA,NA,NA,NA,1506,9,338,6,1,8
238,12157,FT,0,0.856810184,0.032034469,NA,NA,NA,NA,NA,1554,13,327,6,2,8
239,12159,Zi,0.341036355,0.099034919,0.233756177,NA,NA,NA,NA,NA,2040,22,255,6,3,7
240,12431,MH,0,0.297980337,0.237888676,NA,NA,NA,NA,NA,488,11,226,2,2,6
241,12733,EK,0,0.00937151,0,0.07557608,4.440602386,11.75420636,33.48324793,0,776,43,296,3,5,8
242,12747,Fs,0.129563206,2.503370082,0.78633196,NA,NA,NA,NA,NA,1584,6,317,6,1,8
243,13343,Bu,0,1.650704479,0.735028693,NA,NA,NA,NA,NA,1126,18,227,4,2,6
244,13969,Fs,0,1.831083647,0.070622363,NA,NA,NA,NA,NA,1854,23,196,6,3,5
245,14577,Bu,0,0.158108818,0.035598541,NA,NA,NA,NA,NA,778,17,107,3,2,3
246,14900,Bu,6.717272993,1.158010597,0,NA,NA,NA,NA,NA,818,28,310,3,3,8
247,14903,Ftb,0,0.992255019,0.316513008,NA,NA,NA,NA,NA,1025,22,310,4,3,8
248,15220,Bu,0.330278068,0.071561348,0.096940233,NA,NA,NA,NA,NA,755,28,318,3,3,8
249,15544,Ftb,1.278053733,1.383740116,0.620130681,NA,NA,NA,NA,NA,1186,3,339,4,0,1
250,15883,MH,0.791902059,0,0,NA,NA,NA,NA,NA,559,45,277,2,5,7
251,17580,Ftb,1.909502026,0.193061442,0.50747589,NA,NA,NA,NA,NA,568,28,332,2,3,8
